model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-36950	149	0.830674	793.775	5.327	0.799911
step-37000	149	0.830294	796.975	5.349	0.799911
step-37050	149	0.830277	796.381	5.345	0.799911
step-37100	149	0.830125	793.929	5.328	0.799911
step-37150	149	0.831123	795.505	5.339	0.799911
step-37200	149	0.830813	791.619	5.313	0.799911
step-37250	149	0.830337	793.619	5.326	0.799911
step-37300	149	0.829677	791.566	5.313	0.799911
step-37350	149	0.830334	795.881	5.341	0.799911
step-37400	149	0.830086	796.924	5.348	0.799911
step-37450	149	0.830000	803.167	5.390	0.799911
step-37500	149	0.830367	793.336	5.324	0.799911
step-37550	149	0.830541	800.637	5.373	0.799911
step-37600	149	0.830230	795.791	5.341	0.799911
step-37650	149	0.829899	795.291	5.338	0.799911
step-37700	149	0.830226	794.828	5.334	0.799911
step-37750	149	0.830656	796.188	5.344	0.799911
step-37800	149	0.830556	792.428	5.318	0.799911
step-37850	149	0.830102	796.605	5.346	0.799911
step-37900	149	0.830542	796.221	5.344	0.799911
step-37950	149	0.830507	793.957	5.329	0.799911
step-38000	149	0.830338	797.123	5.350	0.799911
step-38050	149	0.829816	793.450	5.325	0.799911
step-38100	149	0.830275	793.188	5.323	0.799911
step-38150	149	0.830567	794.081	5.329	0.799911
step-38200	149	0.830041	796.211	5.344	0.799911
step-38250	149	0.829868	799.668	5.367	0.799911
step-38300	149	0.829911	792.500	5.319	0.799911
step-38350	149	0.829779	793.653	5.327	0.799911
step-38400	149	0.829605	793.257	5.324	0.799911
step-38450	149	0.283627	772.525	5.185	0.799911
step-38500	149	0.511438	769.519	5.165	0.799911
step-38550	149	0.530267	773.527	5.191	0.799911
step-38600	149	0.595765	783.367	5.257	0.799911
step-38650	149	0.743918	789.889	5.301	0.799911
step-38700	149	0.756039	788.461	5.292	0.799911
step-38750	149	0.767052	792.503	5.319	0.799911
step-38800	149	0.771786	791.092	5.309	0.799911
step-38850	149	0.771950	784.531	5.265	0.799911
step-38900	149	0.773675	788.749	5.294	0.799911
step-38950	149	0.777071	786.725	5.280	0.799911
step-39000	149	0.777459	792.340	5.318	0.799911
step-39050	149	0.779032	794.578	5.333	0.799911
step-39100	149	0.780025	787.444	5.285	0.799911
step-39150	149	0.784613	792.273	5.317	0.799911
step-39200	149	0.786703	789.856	5.301	0.799911
step-39250	149	0.788693	792.970	5.322	0.799911
step-39300	149	0.790573	792.823	5.321	0.799911
step-39350	149	0.795941	793.255	5.324	0.799911
step-39400	149	0.801309	793.489	5.325	0.799911
step-39450	149	0.811691	793.289	5.324	0.799911
step-39500	149	0.819077	793.120	5.323	0.799911
step-39550	149	0.817656	792.041	5.316	0.799911
step-39600	149	0.822483	791.477	5.312	0.799911
step-39650	149	0.820342	793.560	5.326	0.799911
step-39700	149	0.822785	791.920	5.315	0.799911
step-39750	149	0.822643	793.200	5.323	0.799911
step-39800	149	0.823516	797.528	5.353	0.799911
step-39850	149	0.824162	795.873	5.341	0.799911
step-39900	149	0.824441	792.808	5.321	0.799911
step-39950	149	0.821036	788.898	5.295	0.799911
step-40000	149	0.825010	797.011	5.349	0.799911
step-40050	149	0.822454	797.464	5.352	0.799911
step-40100	149	0.824235	794.019	5.329	0.799911
step-40150	149	0.822056	795.800	5.341	0.799911
step-40200	149	0.825702	797.843	5.355	0.799911
step-40250	149	0.824663	790.181	5.303	0.799911
step-40300	149	0.825774	800.600	5.373	0.799911
step-40350	149	0.824739	792.428	5.318	0.799911
step-40400	149	0.824790	796.948	5.349	0.799911
step-40450	149	0.824889	794.674	5.333	0.799911
step-40500	149	0.823135	793.222	5.324	0.799911
step-40550	149	0.823238	796.400	5.345	0.799911
step-40600	149	0.823537	796.331	5.345	0.799911
step-40650	149	0.824329	791.027	5.309	0.799911
step-40700	149	0.825434	792.932	5.322	0.799911
step-40750	149	0.825415	793.248	5.324	0.799911
step-40800	149	0.823568	793.358	5.325	0.799911
step-40850	149	0.824650	791.878	5.315	0.799911
step-40900	149	0.822898	791.947	5.315	0.799911
step-40950	149	0.824011	791.112	5.309	0.799911
step-41000	149	0.823561	796.088	5.343	0.799911
step-41050	149	0.822169	794.324	5.331	0.799911
step-41100	149	0.823545	793.495	5.325	0.799911
step-41150	149	0.825430	792.706	5.320	0.799911
step-41200	149	0.825847	794.622	5.333	0.799911
step-41250	149	0.825308	794.779	5.334	0.799911
step-41300	149	0.825374	792.739	5.320	0.799911
step-41350	149	0.824286	794.060	5.329	0.799911
step-41400	149	0.822023	793.006	5.322	0.799911
step-41450	149	0.824358	794.452	5.332	0.799911
step-41500	149	0.824202	795.630	5.340	0.799911
step-41550	149	0.824200	791.737	5.314	0.799911
step-41600	149	0.824773	792.498	5.319	0.799911
step-41650	149	0.823114	790.275	5.304	0.799911
step-41700	149	0.825950	795.479	5.339	0.799911
step-41750	149	0.824887	793.038	5.322	0.799911
step-41800	149	0.825151	794.541	5.332	0.799911
step-41850	149	0.824052	793.416	5.325	0.799911
step-41900	149	0.823878	790.075	5.303	0.799911
step-41950	149	0.824205	792.564	5.319	0.799911
step-42000	149	0.825322	793.272	5.324	0.799911
step-42050	149	0.825341	796.907	5.348	0.799911
step-42100	149	0.822859	795.445	5.339	0.799911
step-42150	149	0.823654	794.100	5.330	0.799911
step-42200	149	0.824478	789.217	5.297	0.799911
step-42250	149	0.825846	795.672	5.340	0.799911
step-42300	149	0.825519	802.282	5.384	0.799911
step-42350	149	0.820660	795.503	5.339	0.799911
step-42400	149	0.822600	795.729	5.340	0.799911
step-42450	149	0.824846	796.735	5.347	0.799911
step-42500	149	0.824705	794.812	5.334	0.799911
step-42550	149	0.823059	795.056	5.336	0.799911
step-42600	149	0.824450	797.114	5.350	0.799911
step-42650	149	0.823265	799.277	5.364	0.799911
step-42700	149	0.824665	791.066	5.309	0.799911
step-42750	149	0.824963	794.685	5.333	0.799911
step-42800	149	0.823417	793.068	5.323	0.799911
step-42850	149	0.824794	792.450	5.318	0.799911
step-42900	149	0.824617	792.705	5.320	0.799911
step-42950	149	0.823339	794.503	5.332	0.799911
step-43000	149	0.824059	793.935	5.328	0.799911
step-43050	149	0.822633	794.322	5.331	0.799911
step-43100	149	0.825669	797.552	5.353	0.799911
step-43150	149	0.823039	792.095	5.316	0.799911
step-43200	149	0.824783	796.049	5.343	0.799911
step-43250	149	0.824996	793.708	5.327	0.799911
step-43300	149	0.823964	792.099	5.316	0.799911
step-43350	149	0.825286	789.992	5.302	0.799911
step-43400	149	0.825408	793.640	5.326	0.799911
step-43450	149	0.823570	799.876	5.368	0.799911
step-43500	149	0.826295	794.252	5.331	0.799911
step-43550	149	0.825515	797.781	5.354	0.799911
step-43600	149	0.824127	799.122	5.363	0.799911
step-43650	149	0.824036	796.786	5.348	0.799911
step-43700	149	0.822876	797.215	5.350	0.799911
step-43750	149	0.824581	796.003	5.342	0.799911
step-43800	149	0.823428	797.312	5.351	0.799911
step-43850	149	0.824008	793.961	5.329	0.799911
step-43900	149	0.824148	795.785	5.341	0.799911
step-43950	149	0.822096	798.860	5.361	0.799911
step-44000	149	0.824683	798.842	5.361	0.799911
step-44050	149	0.825569	795.099	5.336	0.799911
step-44100	149	0.824197	791.716	5.314	0.799911
step-44150	149	0.826333	797.023	5.349	0.799911
step-44200	149	0.823844	794.540	5.332	0.799911
step-44250	149	0.825333	792.632	5.320	0.799911
step-44300	149	0.825993	799.153	5.363	0.799911
step-44350	149	0.825320	794.565	5.333	0.799911
step-44400	149	0.824998	797.208	5.350	0.799911
step-44450	149	0.824944	792.725	5.320	0.799911
step-44500	149	0.824565	797.713	5.354	0.799911
step-44550	149	0.824204	800.209	5.371	0.799911
step-44600	149	0.825657	794.945	5.335	0.799911
step-44650	149	0.824772	794.863	5.335	0.799911
step-44700	149	0.825095	796.015	5.342	0.799911
step-44750	149	0.825711	794.026	5.329	0.799911
step-44800	149	0.823881	792.578	5.319	0.799911
step-44850	149	0.824058	793.287	5.324	0.799911
step-44900	149	0.826641	795.238	5.337	0.799911
step-44950	149	0.824288	798.995	5.362	0.799911
step-45000	149	0.824328	799.130	5.363	0.799911
step-45050	149	0.826346	796.677	5.347	0.799911
step-45100	149	0.826466	790.465	5.305	0.799911
step-45150	149	0.824735	790.802	5.307	0.799911
step-45200	149	0.824422	790.217	5.303	0.799911
step-45250	149	0.824868	795.372	5.338	0.799911
step-45300	149	0.827993	791.771	5.314	0.799911
step-45350	149	0.824811	796.531	5.346	0.799911
step-45400	149	0.825573	793.957	5.329	0.799911
step-45450	149	0.824844	792.104	5.316	0.799911
step-45500	149	0.824470	793.728	5.327	0.799911
step-45550	149	0.824799	798.964	5.362	0.799911
step-45600	149	0.824245	791.808	5.314	0.799911
step-45650	149	0.826590	794.223	5.330	0.799911
